Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"1月 05, 1990",1,1,0,0,1,1,0,1,1,1,1,1
"1月 12, 1990",1,0,1,1,1,1,1,1,1,0,1,1
"1月 19, 1990",1,0,0,0,1,1,1,1,0,0,1,1
"1月 26, 1990",1,1,0,0,1,1,1,1,0,1,1,1
"2月 02, 1990",1,0,1,1,1,1,1,1,1,0,1,0
"2月 09, 1990",0,0,0,0,1,1,1,0,0,0,1,0
"2月 16, 1990",0,0,0,0,1,0,1,0,0,0,1,0
"2月 23, 1990",0,1,0,0,1,1,1,0,0,1,0,0
"3月 02, 1990",0,0,1,1,1,1,0,0,1,1,0,0
"3月 09, 1990",0,0,1,1,0,0,0,0,1,0,1,0
"3月 16, 1990",0,0,0,0,0,0,1,0,1,1,0,0
"3月 23, 1990",0,0,1,1,0,0,0,0,1,1,0,0
"3月 30, 1990",1,0,1,1,0,0,0,0,1,1,0,0
"4月 06, 1990",0,0,1,1,0,0,0,0,1,1,1,0
"4月 13, 1990",1,0,1,1,0,0,1,0,0,0,0,0
"4月 20, 1990",1,0,0,0,0,0,0,0,0,1,0,1
"4月 27, 1990",0,1,1,1,0,1,0,1,1,0,0,1
"5月 04, 1990",1,0,1,0,0,0,0,1,0,1,0,1
"5月 11, 1990",0,0,1,1,0,0,0,1,1,1,1,1
"5月 18, 1990",1,0,1,1,0,0,1,1,1,1,1,1
"5月 25, 1990",1,0,1,1,1,1,1,1,0,1,1,1
"6月 01, 1990",0,0,1,1,1,1,1,1,0,1,0,1
"6月 08, 1990",0,0,1,1,0,0,0,1,0,0,1,1
"6月 15, 1990",1,0,0,0,1,1,1,1,0,1,0,1
"6月 22, 1990",0,0,1,1,0,0,0,1,1,1,0,1
"6月 29, 1990",1,0,1,1,0,1,0,1,0,0,0,1
"7月 06, 1990",1,0,0,0,0,0,0,1,0,1,1,1
"7月 13, 1990",1,0,1,1,1,1,1,1,0,0,0,1
"7月 20, 1990",1,1,0,0,1,1,0,1,0,1,1,1
"7月 27, 1990",1,0,1,1,0,0,1,1,1,0,1,0
"8月 03, 1990",1,0,0,0,1,1,1,0,0,0,0,1
"8月 10, 1990",0,0,0,0,0,0,0,1,0,1,0,1
"8月 17, 1990",0,0,1,1,1,1,0,1,1,1,0,1
"8月 24, 1990",1,0,1,1,0,0,0,1,1,0,0,1
"8月 31, 1990",0,0,0,0,0,1,0,1,0,1,1,1
"9月 07, 1990",1,0,1,1,1,1,1,1,1,0,1,1
"9月 14, 1990",1,0,0,0,1,1,1,1,0,0,1,1
"9月 21, 1990",0,0,0,0,1,1,1,1,0,0,1,0
"9月 28, 1990",0,1,0,0,1,1,1,0,0,0,1,0
"10月 05, 1990",0,0,0,0,1,1,1,0,1,0,0,1
"10月 12, 1990",0,0,0,0,1,1,0,1,0,0,0,1
"10月 19, 1990",0,0,0,0,0,0,0,1,1,1,0,1
"10月 26, 1990",0,1,1,1,1,1,0,1,1,1,1,0
"11月 02, 1990",1,0,1,1,0,0,1,0,1,1,0,0
"11月 09, 1990",0,0,1,1,0,0,0,0,1,0,0,0
"11月 16, 1990",1,0,0,0,0,0,0,0,0,0,1,0
"11月 23, 1990",1,0,0,0,1,1,1,0,0,1,1,0
"11月 30, 1990",1,1,1,1,1,1,1,0,0,0,0,0
"12月 07, 1990",0,0,0,0,1,1,0,0,0,0,1,0
"12月 14, 1990",1,0,0,0,1,1,1,0,0,1,0,0
"12月 21, 1990",1,0,1,1,0,0,0,0,1,0,1,1
