Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"6月 22, 2001",-103,0,-8,-8,1079,822,257,2080,0.1,0,0,1
"6月 29, 2001",351,0,-4753,-4753,888,1309,-421,1592,-0.2,0,0,1
"7月 06, 2001",0,-12,-2645,-3108,-84,800,-884,3630,-0.2,1,0,1
"7月 13, 2001",-252,0,7021,7021,-3717,-2362,-1355,2651,0.5,1,0,1
"7月 20, 2001",-257,0,1380,1380,-3311,-721,-2590,1507,0.1,0,0,1
"7月 27, 2001",-2,0,-1050,-1050,-3208,-2652,-556,968,0.1,0,0,1
"8月 03, 2001",-14,10,-6659,-6659,-3524,-2789,-735,132,-0.2,0,0,0
"8月 10, 2001",110,0,-2849,-2850,-3162,-1924,-1238,-848,-0.2,0,0,1
"8月 17, 2001",-163,0,-4003,-4003,-2558,-573,-1985,46,-0.2,1,0,0
"8月 24, 2001",-39,0,2697,2697,-6195,-3860,-2335,-132,0.2,0,1,0
"8月 31, 2001",250,13,-1954,-1954,-1184,-3638,2454,-354,-0.2,1,1,1
"9月 07, 2001",340,0,961,961,690,-394,1084,875,0,0,1,1
"9月 14, 2001",-683,0,-82,-626,-3049,-4011,962,2091,0,1,1,0
"9月 21, 2001",-240,0,3667,3186,8492,8086,406,-1614,0.3,1,1,1
"9月 28, 2001",190,0,1612,1612,3089,2110,979,923,0.2,0,1,1
"10月 05, 2001",77,-6,-127,-128,2205,1799,406,1944,0.2,0,1,1
"10月 12, 2001",6,0,-4440,-4440,2222,1504,718,1958,-0.3,1,0,1
"10月 19, 2001",196,0,2823,2823,569,1078,-509,896,0,1,0,1
"10月 26, 2001",64,0,2456,2456,-600,-401,-199,475,0.1,1,0,1
"11月 02, 2001",-254,0,4459,4014,-1364,631,-1995,286,0.2,0,0,1
"11月 09, 2001",-440,0,262,-267,-1609,-1485,-124,2527,0.2,0,1,0
"11月 16, 2001",174,0,-699,-1220,1347,539,808,-211,0,0,1,1
"11月 23, 2001",232,0,-2656,-3180,1019,-1342,2361,5105,-0.1,1,1,1
"11月 30, 2001",40,9,4801,4255,4398,2508,1890,2336,0.3,0,0,1
"12月 07, 2001",-249,0,-2337,-2337,-898,-568,-330,2310,-0.2,1,0,0
"12月 14, 2001",31,0,1380,361,-881,-732,-149,-1583,0,1,0,0
"12月 21, 2001",-247,0,3316,2613,-3284,-2826,-458,-1660,0.3,0,1,1
"12月 28, 2001",253,0,-2170,-2170,878,-186,1064,601,-0.1,1,0,1
"1月 04, 2002",-7,29,1991,799,-188,1864,-2052,4605,0.1,1,1,0
"1月 11, 2002",77,0,2060,1028,2774,1735,1039,-305,0,1,1,0
"1月 18, 2002",-351,0,3935,2749,3555,2936,619,-2929,0.2,1,1,0
"1月 25, 2002",-472,0,3153,2106,2601,1748,853,-171,0.4,1,0,0
"2月 01, 2002",50,2,2928,2208,-301,1,-302,-1507,0.4,1,0,1
"2月 08, 2002",104,0,5344,2501,1003,1590,-587,196,0.4,0,1,0
"2月 15, 2002",104,0,-2728,-3108,-475,-1405,930,-1848,-0.1,0,1,0
"2月 22, 2002",151,0,-744,-2468,-1130,-3466,2336,-2981,-0.3,1,0,0
"3月 01, 2002",-390,0,4888,4334,-3079,-1850,-1229,-1862,0.3,1,0,0
"3月 08, 2002",-140,0,572,333,-1130,-297,-833,-2853,0.1,1,1,0
"3月 15, 2002",212,0,3560,2608,-2464,-2934,470,-2511,0.3,0,0,0
"3月 22, 2002",254,0,-4444,-4444,-1923,-1445,-478,-2951,-0.3,1,1,0
"3月 29, 2002",178,0,6024,6025,4364,2931,1433,-2850,0.2,1,1,1
"4月 05, 2002",320,122,835,263,1081,-905,1986,1486,-0.3,0,0,0
"4月 12, 2002",209,0,-4030,-5665,-1475,-405,-1070,-1075,-0.8,1,0,0
"4月 19, 2002",-56,0,3402,1586,-572,1908,-2480,-368,-0.1,1,0,1
"4月 26, 2002",154,0,5151,4572,1391,2765,-1374,473,0.1,0,0,1
"5月 03, 2002",234,-29,-4437,-5676,2162,3464,-1302,1306,-0.5,0,1,1
"5月 10, 2002",-107,0,-3225,-4187,3099,1934,1165,957,-0.4,1,0,1
"5月 17, 2002",-323,0,5251,4630,-1113,-412,-701,1461,0.3,0,1,1
"5月 24, 2002",141,0,-384,-1536,2006,1697,309,1015,-0.1,1,0,1
"5月 31, 2002",177,0,7283,6032,-2184,-342,-1842,2549,0.5,0,1,1
"6月 07, 2002",-15,0,-65,-1182,-1554,-3118,1564,1736,-0.1,0,1,1
"6月 14, 2002",64,0,408,-483,867,465,402,275,-0.1,0,0,0
"6月 21, 2002",-110,0,-1856,-3439,1176,1318,-142,-845,-0.3,1,0,0
"6月 28, 2002",176,0,2657,1573,29,228,-199,-348,0.1,0,1,1
"7月 05, 2002",55,0,-3378,-4405,-1714,-2054,340,3079,-0.4,0,0,1
"7月 12, 2002",-124,2,-899,-1980,-1488,-253,-1235,2095,-0.1,0,0,0
"7月 19, 2002",-39,0,-3159,-3682,-641,634,-1275,-204,-0.3,0,1,1
"7月 26, 2002",205,0,-1977,-1977,-1000,-1161,161,1179,-0.1,0,1,1
"8月 02, 2002",-325,0,-1606,-2080,879,-1468,2347,646,-0.1,0,0,0
"8月 09, 2002",-5,0,-6632,-7205,-4505,-2288,-2217,-1132,-0.4,1,0,0
"8月 16, 2002",168,0,3343,2853,778,1193,-415,-575,0.2,1,0,0
"8月 23, 2002",-168,0,895,264,-1982,-762,-1220,-1810,0.1,0,1,0
"8月 30, 2002",65,7,-3959,-4628,-1431,-2795,1364,-1940,-0.3,0,0,1
"9月 06, 2002",87,0,-3672,-5052,268,1711,-1443,3932,-0.4,0,1,0
"9月 13, 2002",-289,0,-4038,-5404,-611,-2776,2165,-2182,-0.3,0,1,0
"9月 20, 2002",27,0,-2240,-2592,2235,1257,978,-1565,-0.1,0,0,1
"9月 27, 2002",-271,0,-8682,-9982,1199,1573,-374,246,-0.5,0,0,0
"10月 04, 2002",-1135,0,-3699,-4648,-3141,-2155,-986,-2709,0.1,1,0,0
"10月 11, 2002",-540,0,10474,8975,-6301,-6270,-31,-1931,1.2,1,0,1
"10月 18, 2002",1044,0,7176,6777,-3622,-2046,-1576,151,0.8,1,1,0
"10月 25, 2002",457,0,1347,914,-1046,-1538,492,-1825,0.2,1,0,0
"11月 01, 2002",132,0,3994,3482,-2165,-1710,-455,-1855,-0.2,0,1,0
"11月 08, 2002",-25,0,-5324,-6890,1898,1519,379,-461,-1,1,0,1
"11月 15, 2002",196,0,5763,4455,-545,800,-1345,1415,0.1,0,1,0
"11月 22, 2002",147,0,-2342,-3899,3920,3520,400,-2890,-0.4,1,1,0
"11月 29, 2002",137,0,4207,3076,2543,-694,3237,-123,0.1,1,1,1
"12月 06, 2002",-60,0,3924,1423,3278,3083,195,3423,-0.1,0,0,1
"12月 13, 2002",-407,0,-1116,-2061,-91,-70,-21,1477,0,1,0,1
"12月 20, 2002",-209,0,1426,715,2221,2813,-592,181,0.2,0,1,1
"12月 27, 2002",325,0,-9025,-9126,-414,-522,108,1904,-0.5,1,1,1
"1月 03, 2003",-85,0,619,419,4872,4652,220,2925,0.1,0,1,1
"1月 10, 2003",155,0,-6273,-6429,5754,3997,1757,2546,-0.5,1,1,0
"1月 17, 2003",-398,0,1585,1585,688,-1306,1994,-3054,0.1,0,1,0
"1月 24, 2003",-446,0,-512,-508,-3290,-3663,373,-6854,0.2,1,1,0
"1月 31, 2003",-343,0,944,944,-3367,-5194,1827,-10330,0.4,0,1,0
"2月 07, 2003",125,0,-4321,-4321,3036,3002,34,-3836,0,1,0,0
"2月 14, 2003",333,0,3058,3058,-1443,-955,-488,-4639,0.3,0,1,0
"2月 21, 2003",151,0,-1034,-1034,-3111,-3942,831,-4528,-0.1,1,0,0
"2月 28, 2003",-275,0,1697,1697,-2009,-574,-1435,-2514,0,0,1,1
"3月 07, 2003",416,0,-4288,-4288,-4078,-4955,877,1778,-0.5,1,1,0
"3月 14, 2003",172,0,472,472,-925,-1198,273,-1091,-0.1,1,1,1
"3月 21, 2003",-38,0,3705,3705,-2106,-2212,106,2252,0.2,1,1,0
"3月 28, 2003",374,0,6733,6733,1744,499,1245,-1586,0.1,0,1,0
"4月 04, 2003",335,-33,-3498,-3498,1461,917,544,-1772,-0.4,1,1,0
"4月 11, 2003",15,0,333,132,-235,-1623,1388,-399,-0.2,1,0,1
"4月 18, 2003",-132,0,8971,8971,-773,1159,-1932,342,0.4,1,1,0
"4月 25, 2003",93,0,1822,1822,4418,4045,373,-201,0,0,1,1
"5月 02, 2003",297,0,-313,-450,2202,858,1344,1441,-0.1,0,0,1
"5月 09, 2003",67,0,-1918,-2723,850,1411,-561,2575,-0.3,1,0,1
"5月 16, 2003",-44,0,1354,664,-267,168,-435,2823,0,1,0,0
"5月 23, 2003",-111,0,1549,1027,-3343,-1899,-1444,-1182,0,1,0,1
"5月 30, 2003",469,-4,3789,2864,2247,2754,-507,2995,0.1,0,0,1
"6月 06, 2003",-199,0,-3243,-4691,2572,3255,-683,2817,-0.4,1,0,1
"6月 13, 2003",-92,0,5243,3984,-729,-480,-249,2088,0.3,0,0,0
"6月 20, 2003",-344,0,-3847,-4145,-920,-617,-303,-9,-0.2,0,0,1
"6月 27, 2003",61,0,-321,-2116,-3244,-3241,-3,317,0,0,1,0
"7月 04, 2003",47,0,1221,-144,526,-920,1446,-535,0.1,0,0,1
"7月 11, 2003",71,0,-3022,-3630,3936,4029,-93,5493,-0.2,0,0,1
"7月 18, 2003",-215,0,-1639,-2339,-1602,-690,-912,514,-0.2,1,1,1
"7月 25, 2003",142,0,1794,1094,-3324,-3465,141,2189,0.1,1,0,1
"8月 01, 2003",-204,0,4851,3138,-2712,-1621,-1091,1663,0.2,1,0,1
"8月 08, 2003",128,0,329,180,-3637,-2851,-786,867,0.1,0,0,1
"8月 15, 2003",205,0,-1448,-1586,-1297,240,-1537,1211,-0.2,0,0,1
"8月 22, 2003",-234,0,3042,-184,-5671,-4293,-1378,657,0,1,1,1
"8月 29, 2003",244,0,2828,1761,719,424,295,2946,0.1,0,0,1
"9月 05, 2003",49,0,-3006,-4469,681,1315,-634,3658,-0.4,1,1,1
"9月 12, 2003",20,0,4921,3149,2743,514,2229,2942,0.2,1,1,0
"9月 19, 2003",-390,0,2629,1490,1500,-115,1615,-97,0.1,0,0,1
"9月 26, 2003",-292,0,586,-47,2352,3352,-1000,38,0.2,1,1,1
"10月 03, 2003",-116,0,6652,4847,-1188,-1882,694,187,0.5,1,0,0
"10月 10, 2003",102,0,5678,3797,-3407,-2506,-901,-1621,0.4,0,0,1
"10月 17, 2003",237,0,-388,-1795,1407,1768,-361,2610,-0.1,1,0,1
"10月 24, 2003",116,0,5297,3640,-2177,-1553,-624,1564,0.2,1,1,0
"10月 31, 2003",107,0,1285,49,-2475,-3136,661,-1320,-0.2,0,1,0
"11月 07, 2003",-395,0,284,-939,933,-464,1397,-1502,-0.1,1,1,0
"11月 14, 2003",153,0,3923,2910,-73,-1400,1327,-2283,0.2,0,0,0
"11月 21, 2003",-103,0,-4476,-4889,1459,2287,-828,-604,-0.2,0,1,1
"11月 28, 2003",285,0,-4084,-4829,3457,1806,1651,2780,-0.3,0,1,1
"12月 05, 2003",213,0,-4646,-5445,3362,2340,1022,1034,-0.5,0,1,0
"12月 12, 2003",-404,0,-4603,-5124,1905,987,918,-1371,-0.4,1,1,0
"12月 19, 2003",-100,0,2603,1645,610,-809,1419,-2312,0.2,0,0,1
"12月 26, 2003",19,0,-3080,-3777,632,1455,-823,710,-0.2,0,1,1
"1月 02, 2004",181,0,22,-1855,2689,1302,1387,6370,-0.1,0,1,1
"1月 09, 2004",-330,0,-3939,-4984,2108,428,1680,2806,-0.2,1,1,0
"1月 16, 2004",-184,0,1521,1212,1068,173,895,-2852,0.1,0,0,0
"1月 23, 2004",-163,0,-640,-1516,-3444,-2286,-1158,-4446,0.1,1,1,0
"1月 30, 2004",-202,0,8523,7922,-447,-842,395,-6871,0.8,0,0,0
"2月 06, 2004",318,0,-2261,-3053,-1176,-745,-431,-5894,-0.2,1,1,0
"2月 13, 2004",126,0,6489,4900,606,-1296,1902,-5788,0.3,0,0,0
"2月 20, 2004",-498,0,1883,0,-1645,-809,-836,-1090,0.1,1,1,0
"2月 27, 2004",201,0,3254,2000,-1364,-2053,689,-71,0.1,1,1,1
"3月 05, 2004",80,-10,4598,3637,-1594,-2499,905,1438,0.3,1,1,0
"3月 12, 2004",-269,0,2238,1580,-794,-1727,933,-980,0.2,1,0,0
"3月 19, 2004",109,0,8901,7532,-103,538,-641,-1352,0.5,1,0,0
"3月 26, 2004",68,0,7011,5698,1362,1828,-466,-676,0.4,0,0,0
"4月 02, 2004",226,0,-160,-1421,-828,-563,-265,-4554,-0.1,1,1,0
"4月 09, 2004",-236,147,3990,3148,-2606,-3893,1287,-1289,0.1,1,0,1
"4月 16, 2004",557,0,1535,208,1632,2030,-398,736,-0.2,1,1,1
"4月 23, 2004",-29,0,5369,3179,875,-1319,2194,155,0.1,1,1,1
"4月 30, 2004",328,0,1181,95,4038,323,3715,2432,-0.2,1,0,1
"5月 07, 2004",465,0,2373,928,-1546,788,-2334,308,-0.3,0,0,1
"5月 14, 2004",-22,0,-798,-1096,1224,1397,-173,1651,-0.3,1,0,0
"5月 21, 2004",-121,0,174,25,-657,422,-1079,-511,-0.2,1,1,1
"5月 28, 2004",-10,0,3645,2779,1262,-85,1347,269,0.1,1,1,0
"6月 04, 2004",204,-5,1712,715,2153,1132,1021,-605,0,1,1,1
"6月 11, 2004",108,0,848,852,-489,-1457,968,1427,0,1,0,1
"6月 18, 2004",-117,0,2415,2415,-809,-628,-181,631,0.1,0,0,1
"6月 25, 2004",61,0,537,-504,14,183,-169,529,-0.1,1,1,1
"7月 02, 2004",1,0,90,90,960,-765,1725,3106,0,0,0,1
"7月 09, 2004",-223,0,-1676,-2172,-205,83,-288,2705,-0.1,0,1,1
"7月 16, 2004",-86,0,-3576,-3573,2517,2262,255,1692,-0.1,1,0,1
"7月 23, 2004",433,0,2266,1172,-769,-608,-161,670,0,0,1,1
"7月 30, 2004",-48,0,-1266,-1815,2457,877,1580,2061,-0.1,0,1,1
"8月 06, 2004",-340,0,-2983,-4137,-1812,-2776,964,1338,-0.3,0,0,1
"8月 13, 2004",133,0,-699,-1211,-2554,-1501,-1053,2077,-0.1,0,1,1
"8月 20, 2004",123,0,-674,-1700,1,-735,736,483,-0.1,0,1,1
